//
// letter, sound ID, display string, word1, word2, word3, "quiz word1, quizWord2", color
//
O,ow,OW,owl,cow,town,"clown, flower, brown, eyebrow, trowel, nightgown, shower, wedding gown", green
O,OY,OY,boy,toys,oyster,"cowboy, joy, boyfriend, royal", black
P,puh,P,puppy,penguin,carpet,"panda, poodle, jeep, pig, slippers, pearl, sleepy, ape, purse, trumpet", black
P,PL,PL,plug,playground,airplane,"plum, guitar player, snow plow, plug", black
P,PR,PR,proud,pretzel,present,"sprinkler, proposing, spray", black
Q,qwuh,Q,queen,question,squirrel,"squash, quiet, tennis racquet, square, t-square, flying squirrel, badminton racquet, carpenter's square", black
R,rrr,R,raccoons,robot,grapes,"rainbow, rabbit, bow and arrows, rocket, polar bear, rake, squirrel, firetruck,walrus, throne", black
S,sss,S,suitcase,whistle,saint bernard,"saw, sing, glass, sofa, grass, seagulls, question, sandbox, purse, squirrel", black
S,zz,S,dogs,skis,poison,"nose, present, raccoons, Frisbee, boots, gloves, crayons, walnuts, binoculars", green
S,SH,SH,shoes,shovel,fish,"brush, jellyfish, squash, fishing net, eyelash, sheep, starfish, flashlight, dish, cushion", black
S,SK,SK,skate,skunk,basket,"skis, skateboard, sky, coonskin cap, skip, desk, mask of frog, skirt, basketball", black
S,SL,SL,sled,slippers,slide,"sleepy, sledge hammer, sleepy dog, ballet slippers", black
S,SP,SP,spider,spoon,spill,"sprinkler, wasp, spray", black
S,ST,ST,stilts,steal,statue,"star, hamster, storm, ostrich, strawberries, toaster, stool, stew pot, straw, street sweeper", black
S,SW,SW,sweet,swing,swan,"swim, sweet potato, street sweeper, swimming", black
T,tttt,T,toe,traffic light,hat,"teeter-totter, turtle, goat, tail, tuba, utility knife, tie, light, town, sweet", black
T,the,TH,father,mother,feather,"clothes, weather, grandfather clock, tetherball, brother, grandmother", black
T,th,TH,throne,three,moth,"mouth, birthday cake, path, throw, thumb", green
T,TR,TR,tricycle,tree,firetruck,"trumpet, trolley, ostrich, tank truck, troubles, boat trailer, trombone, triangle, tree stump, trowel, troll", black
U,long,U,unicycle,binoculars,unicorn,"statue, cucumber, ambulance, SUV, music", black
U,uu,U,tuba,blue,dune buggy,"flute, suit, tissue, fruits, suitcase, dune buggy, blue, tuba", green
U,short,U,bug,bucket,chipmunk,"cut, brush, bubble, firetruck, plug, rug, plum, golf club, judge, jump", orange
U,UR,UR,turtle,purse,surfboard,"curl, burn, hamburger, purple, turkey, furniture, tape measure", black
V,vv,V,volcano,van,beaver,"silver, oven, glove, shovel, excavator", black
W,wuh,W,wagon,wolf,window,"walrus, walnuts, work, wig, weather, waterfall, wall, woman, wash, watermelon", black
W,WH,WH,whistle,wheelchair,whale,"white cat, whisper, white calf, wheelbarrow, white spider, wheel", black
X,ks,X,taxi,fox,axe,"sandbox, boxer, six, excavator, jack in the box, sixteen", black
Y,yuh,Y,yellow,yo-yo,crayons,"kayak, yawn, guitar player, barnyard, yacht", black
Y,i,Y,cry,fly,sky,"butterfly, frying pan, unicycle, eyelash, flying squirrel, eyebrow, flying carpet", green
Y,e,Y,baby,candy,sleepy,"bunny, puppy, canary, monkey, family, chimney, trolley, angry, key, celery", purple
Z,zzz,Z,zebra,lizard,dozer,"pretzel, grizzly bear, zipper, gazelle, hazelnuts", black
