//
// File Name , item = start time / end time, ...
//
words-D-ND,ND=0.0702/0.6507,hand=2.8571/0.5124,sandbox=5.6417/0.8299,panda=8.6734/0.473
words-D-RD,RD=0.0702/0.5011,hard hat=2.7188/0.5306,skateboard=5.3900/0.7777,lizard=8.4716/0.587
words-I-long,long=0.0453/0.4648,I=2.5850/0.4852,ice=5.1496/0.5691,tie=7.9002/0.4535,life jacket=10.435/0.752
words-I-schwa,schwa=0.0657/0.3968,rabbit=1.6598/0.6439,pencil=3.6848/0.7006
words-I-short,short=0.0544/0.3310,hit=2.5260/0.2834,mittens=4.9637/0.7392,fish=7.8616/0.453
words-I-IG,IG=0.0340/0.3968,pig=2.7029/0.4376,dig=5.3242/0.4603,wig=7.9569/0.424
words-I-ie,ie=0.0226/0.4285
words-I-ee,ee=0.0226/0.4285
words-I-IL,IL=0.0226/0.4285,spill=2.6190/0.5124,drill=5.2902/0.4988,silver=7.9138/0.562
words-I-IR,IR=0.0476/0.4285,girl=2.6666/0.4580,bird=5.2358/0.4376,birthday cake=7.7641/0.641
words-I-IT,IT=0.0385/0.2494,hit=2.6553/0.2018,sit=5.1950/0.4081,mittens=7.8412/0.777
words-R-rrr,rrr=0.0657/0.3900,car=2.6371/0.3514,chair=5.1337/0.4444,horse=7.6848/0.539
words-R-RD,RD=0.0702/0.5011,hard hat=2.7188/0.5306,skateboard=5.3900/0.7777,lizard=8.4716/0.587
words-R-RK,RK=0.0204/0.3696,fork=2.6326/0.3718,dark=5.1337/0.3741,work=7.6984/0.331
words-R-RL,RL=0.0521/0.6371,girl=2.8208/0.6122,pearl=5.8049/0.6530,curl=8.7755/0.498
words-R-RM,RM=0.0589/0.5011,arm=2.6598/0.5623,armadillo=5.3718/0.7936,storm=8.3582/0.655
words-R-RN,RN=0.0634/0.5623,barn=2.7437/0.5396,corn=5.4512/0.5170,horn=8.0476/0.510
words-R-AR,AR=0.0612/0.4376,arm=2.5532/0.5714,star=5.3356/0.7142,garden=8.2244/0.616
words-R-BR,BR=0.0136/0.2925,bridge=2.4058/0.5827,break=5.2244/0.4081,brush=8.0498/0.544
words-R-CR,CR=0.1496/0.2879,crab=2.7346/0.5034,crane=5.4807/0.5170,cradle=8.2086/0.390
words-R-DR,DR=0.0975/0.4081,drink=2.6054/0.3492,drop=5.1247/0.2653,drill=7.5124/0.408
words-R-ER,ER=0.0362/0.3968,car=2.5736/0.5532,chair=5.3265/0.4761,horse=8.0385/0.702
words-R-FR,FR=0.0657/0.4104,frog=2.6258/0.4444,frisbee=5.2176/0.4920,frying pan=7.8480/0.675
words-R-GR,GR=0.0385/0.5034,grape=2.6575/0.2947,angry=7.7687/0.537
words-R-IR,IR=0.0476/0.4285,girl=2.6666/0.4580,bird=5.2358/0.4376,birthday cake=7.7641/0.641
words-R-OR,OR=0.0272/0.4716,fork=2.7142/0.3151,storm=5.3174/0.5555,corn=8.0612/0.535
words-R-PR,PR=0.0204/0.3922,proud=2.5918/0.5918,pretzel=5.4126/0.7165,present=8.2607/0.712
words-R-TR,TR=0.0272/0.4149,tricycle=2.7755/0.8866,tree=5.9818/0.5260,firetruck=8.9682/0.789
words-R-UR,UR=0.0158/0.4829,purse=5.2222/0.5623,surfboard=7.8956/0.501
words-G-guh,G=0.1224/0.3356,guh=2.6893/0.3333,goat=7.9705/0.3242,flag=10.480/0.414
words-G-juh,juh=0.1020/0.4172,giraffe=2.7641/0.2970,gingerbread man=5.2380/0.9795,fridge=8.3401/0.430
words-G-GL,GL=0.1836/0.5283,gloves=2.8390/0.5532,glass=5.5079/0.5963
words-G-GR,GR=0.0385/0.5034,grape=2.6575/0.2947,grass=5.0975/0.5510,angry=7.7687/0.537
words-G-IG,IG=0.0340/0.3968,pig=2.7029/0.4376,dig=5.3242/0.4603,wig=7.9569/0.424
words-G-NG,NG=0.0317/0.5487,sing=5.5850/0.4557,finger=8.1564/0.503
words-G-UG,UG=0.0204/0.4036,hug=2.6303/0.3945,bug=5.1224/0.4489,plug=7.7346/0.376
words-P-puh,P=0.1315/0.3106,puh=2.6235/0.2086,puppy=4.9478/0.3968,penguin=7.5510/0.5714,carpet=10.321/0.324
words-P-PL,PL=0.1541/0.1768,plug=2.6349/0.4421,playground=5.3038/0.7346,airplane=8.2018/0.580
words-P-PR,PR=0.0204/0.3922,proud=2.5918/0.5918,pretzel=5.4126/0.7165,present=8.2607/0.712
words-P-SP,SP=0.3333/0.2108,spider=2.9954/0.4965,spoon=5.7097/0.5736,spill=8.7573/0.412
words-O-long,long=0.0566/0.4217,o=2.5827/0.4263,old=5.0702/0.5011,mole=7.6712/0.7619,polar bear=10.639/0.752
words-O-uh,uh=0.0430/0.3832,onion=2.5192/0.4965,oven=5.0544/0.4739,wagon=7.6190/0.510
words-O-ew,ew=0.0340/0.4716,spoon=2.7369/0.6054,raccoons=5.5759/1.0476,boots=8.8299/0.451
words-O-short,short=0.0589/0.4761,ostrich=2.6553/0.6870,pot=5.4467/0.2993,trolley=7.9251/0.446
words-O-OR,OR=0.0272/0.4716,fork=2.7142/0.3151,storm=5.3174/0.5555,corn=8.0612/0.535
